City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Kavaratti,IN,10.5669,72.642,82.18,82,100,20.54,overcast clouds
249,Leh,IN,34.1667,77.5833,64.76,27,13,5.35,few clouds
250,Nabire,ID,-3.3667,135.4833,76.19,92,100,3.13,overcast clouds
251,Kyren,RU,51.6828,102.1408,57.22,91,100,3.87,overcast clouds
252,Longyearbyen,SJ,78.2186,15.6401,44.44,93,75,10.36,broken clouds
253,Tovste,UA,48.8466,25.7262,61.88,97,81,7.14,broken clouds
254,Mankono,CI,8.0586,-6.1897,69.17,97,99,1.77,overcast clouds
255,Vanimo,PG,-2.6741,141.3028,82.8,72,91,5.93,overcast clouds
256,Manavalakurichi,IN,8.1333,77.3,78.8,82,92,18.63,overcast clouds
257,Bandarbeyla,SO,9.4942,50.8122,78.39,72,94,31.92,overcast clouds
258,Alta Floresta,BR,-9.8756,-56.0861,80.74,39,48,3.91,scattered clouds
259,Point Pedro,LK,9.8167,80.2333,82.0,78,98,6.4,heavy intensity rain
260,Ratnagiri,IN,16.9833,73.3,80.19,85,100,13.82,overcast clouds
261,Manakara,MG,-22.1333,48.0167,67.24,65,92,3.56,overcast clouds
262,Srednekolymsk,RU,67.45,153.6833,60.67,42,34,13.06,scattered clouds
263,Pedasi,PA,7.5333,-80.0333,77.07,84,86,11.32,overcast clouds
264,Leningradskiy,RU,69.3833,178.4167,38.88,87,96,6.55,overcast clouds
265,The Valley,AI,18.217,-63.0578,81.1,83,40,19.57,scattered clouds
266,Meulaboh,ID,4.1363,96.1285,74.53,86,99,3.96,overcast clouds
267,Canavieiras,BR,-15.675,-38.9472,71.42,88,22,7.52,few clouds
268,Tyret Pervaya,RU,53.6703,102.3106,58.35,77,87,7.72,overcast clouds
269,Roma,US,43.2128,-75.4557,72.09,72,55,2.84,broken clouds
270,Norman Wells,CA,65.282,-126.8329,80.64,39,0,14.97,clear sky
271,Mejorada Del Campo,ES,40.3928,-3.4819,84.25,47,0,10.36,clear sky
272,Oussouye,SN,12.485,-16.5469,80.78,75,99,6.62,overcast clouds
273,Miracema Do Tocantins,BR,-9.5618,-48.3967,82.47,46,88,3.51,overcast clouds
274,Hithadhoo,MV,-0.6,73.0833,83.64,73,100,17.36,overcast clouds
275,Praia,CV,14.9215,-23.5087,73.94,73,75,16.11,broken clouds
276,Bethel,US,41.3712,-73.414,80.85,83,85,3.31,overcast clouds
277,Caborca,MX,30.5838,-111.101,92.46,31,68,7.67,broken clouds
278,Clyde River,CA,70.4692,-68.5914,32.23,100,100,10.36,light snow
279,Santander,ES,43.4647,-3.8044,65.52,90,75,3.44,broken clouds
280,Hovd,MN,48.0056,91.6419,62.29,28,62,3.0,broken clouds
281,Caravelas,BR,-17.7125,-39.2481,70.5,86,15,5.44,few clouds
282,Fort Nelson,CA,58.8053,-122.7002,76.59,25,20,2.3,few clouds
283,Felipe Carrillo Puerto,MX,19.5833,-88.05,83.75,65,71,6.78,broken clouds
284,Dalmatovo,RU,56.26,62.9362,55.33,85,96,6.24,overcast clouds
285,Tongren,CN,27.7172,109.1853,76.84,94,100,4.41,overcast clouds
286,Leninskoye,KZ,41.7589,69.3864,74.12,24,0,6.82,clear sky
