City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
550,Matelica,IT,73.45,scattered clouds,43.2541,13.0106,Hotel Fioriti
551,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
553,Micheweni,TZ,73.62,light rain,-4.9667,39.8333,
554,Neftcala,AZ,78.21,broken clouds,39.3742,49.2472,Otel restoran
555,Phan Thiet,VN,79.36,overcast clouds,10.9333,108.1,Hotel Saigon-PT
561,Beohari,IN,81.05,overcast clouds,24.05,81.3833,Shivanshu tiwari
562,Omboue,GA,71.58,scattered clouds,-1.5746,9.2618,Hotel Olako
565,Acajutla,SV,80.73,light rain,13.5928,-89.8275,Laureles
567,Emilio Carranza,MX,84.83,few clouds,19.9711,-96.6114,Hotel Carranza Inn
570,Maneadero,MX,72.1,clear sky,31.7167,-116.5667,Casa De Thompson
571,Banda Aceh,ID,81.21,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
572,Nilo,CO,77.09,overcast clouds,4.306,-74.6208,SanRin Hotel
573,Buala,SB,84.76,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
574,High Level,CA,73.51,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
575,Cobija,BO,77.11,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
576,Yarada,IN,83.12,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
579,Matara,LK,79.32,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
583,Lorengau,PG,83.19,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
584,Ternate,ID,81.7,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
588,Sakaiminato,JP,80.58,light rain,35.55,133.2333,Italian pasley
594,Palmer,US,76.91,broken clouds,42.1584,-72.3287,Wedgewood Motel
595,Lao Cai,VN,80.38,overcast clouds,22.4833,103.95,Legend Hotel
596,Sola,VU,81.36,few clouds,-13.8833,167.55,Leumerus Bungalows
597,Yinchuan,CN,75.65,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
599,Matadi,CD,71.29,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
600,Puerto Plata,DO,85.91,broken clouds,19.7934,-70.6884,Be Live Collection Marien
601,Crawfordsville,US,79.3,clear sky,40.0411,-86.8745,"Holiday Inn Express & Suites Crawfordsville, an IHG Hotel"
602,Gorom-Gorom,BF,86.04,broken clouds,14.4439,-0.2361,
605,Aloleng,PH,82.87,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
606,Paragominas,BR,72.28,few clouds,-2.9667,-47.4833,INOVA
607,Fangshan,CN,75.96,light rain,39.6983,115.9925,Super 8 Beijing Fangshan Yanhua Subway Station
610,Marzuq,YE,82.89,overcast clouds,14.4,46.4667,
611,Sayat,TM,82.27,clear sky,38.7839,63.8803,
613,Ladario,BR,78.26,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
615,Deer Lake,CA,73.26,broken clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
616,Berdigestyakh,RU,74.12,overcast clouds,62.0989,126.6992,
617,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
618,Rock Sound,BS,81.55,broken clouds,24.9,-76.2,Pink Corral Bay Property
